descriptor,mean,std
fr_allylic_oxid,0.5338983050847458,1.0913976250178206
fr_amide,0.3050847457627119,0.8819992303451413
fr_amidine,0.01694915254237288,0.12963135419615376
fr_aniline,0.09322033898305085,0.3199168731665091
fr_aryl_methyl,0.0847457627118644,0.27969064676509087
fr_azide,0.0,1.0
fr_azo,0.0,1.0
fr_barbitur,0.0,1.0
fr_benzene,0.7203389830508474,0.7497645581483344
fr_benzodiazepine,0.0,1.0
fr_bicyclic,1.347457627118644,1.7115850535760972
fr_diazo,0.0,1.0
fr_dihydropyridine,0.0,1.0
fr_epoxide,0.00847457627118644,0.0920574617898323
fr_ester,0.2288135593220339,0.5296510212007693
fr_ether,0.7627118644067796,1.0350933406995704
fr_furan,0.00847457627118644,0.09205746178983229
fr_guanido,0.025423728813559324,0.20514178573036695
fr_halogen,0.03389830508474576,0.1817391476123966
fr_hdrzine,0.00847457627118644,0.0920574617898323
fr_hdrzone,0.0,1.0
fr_imidazole,0.01694915254237288,0.12963135419615376
fr_imide,0.0,1.0
fr_isothiocyan,0.0,1.0
fr_ketone,0.4067796610169492,0.7537630738823721
fr_ketone_Topliss,0.3135593220338983,0.6364854426246062
fr_lactam,0.01694915254237288,0.12963135419615376
fr_lactone,0.1016949152542373,0.3304964023098229
fr_methoxy,0.2711864406779661,0.5797290399959049
fr_morpholine,0.0,1.0
fr_nitrile,0.0,1.0
fr_nitro,0.00847457627118644,0.0920574617898323
fr_nitro_arom,0.0,1.0
fr_nitro_arom_nonortho,0.0,1.0
fr_nitroso,0.0,1.0
fr_oxazole,0.0,1.0
fr_oxime,0.0,1.0
fr_para_hydroxylation,0.0847457627118644,0.30874078930697185
fr_phenol,0.5508474576271186,1.121639959503122
fr_phenol_noOrthoHbond,0.5423728813559322,1.1219950774349272
fr_phos_acid,0.05084745762711865,0.3888940625884613
fr_phos_ester,0.05084745762711865,0.3888940625884613
fr_piperdine,0.288135593220339,0.8382082530460027
fr_piperzine,0.01694915254237288,0.12963135419615376
fr_priamide,0.01694915254237288,0.12963135419615376
fr_pyridine,0.01694915254237288,0.12963135419615376
fr_quatN,0.3389830508474576,0.5265650499672601
fr_sulfide,0.03389830508474576,0.18173914761239662
fr_sulfonamd,0.00847457627118644,0.0920574617898323
fr_sulfone,0.0,1.0
fr_term_acetylene,0.0,1.0
fr_tetrazole,0.0,1.0
fr_thiazole,0.0,1.0
fr_thiocyan,0.0,1.0
fr_thiophene,0.0,1.0
fr_unbrch_alkane,0.1016949152542373,0.8205671429214678
fr_urea,0.00847457627118644,0.0920574617898323
